smoothed;2
(;h;i; ;e;v;r;y;b;o;d;w;l;c;m;t;j;s;);a;p;g;u;f;n;x;k;.;z;q;,;#
(;0.000008;0.046421;0.061989;0.005021;0.024361;0.006800;0.033501;0.030220;0.040040;0.037217;0.041930;0.074964;0.025547;0.053268;0.034157;0.162460;0.010192;0.075755;0.000055;0.086484;0.049773;0.026274;0.010184;0.026622;0.022202;0.000024;0.011734;0.000119;0.000253;0.001977;0.000435;0.000016
h;0.000004;0.000138;0.120752;0.068317;0.417420;0.000040;0.008905;0.012980;0.000417;0.078110;0.000213;0.000138;0.000675;0.000204;0.003063;0.031575;0.000004;0.001292;0.010614;0.233340;0.000107;0.000027;0.009695;0.000124;0.001776;0.000004;0.000013;0.000013;0.000004;0.000027;0.000004;0.000004
i;0.000004;0.000069;0.000497;0.050299;0.026250;0.023395;0.026984;0.000031;0.007360;0.043542;0.045793;0.000161;0.040737;0.058045;0.038914;0.128059;0.000313;0.126526;0.008025;0.026888;0.004972;0.039713;0.000604;0.021507;0.250427;0.001804;0.023873;0.000004;0.004945;0.000252;0.000004;0.000004
 ;0.000001;0.048060;0.084863;0.003494;0.015826;0.005995;0.023463;0.033712;0.038829;0.050376;0.035859;0.078615;0.023569;0.035885;0.029152;0.177671;0.010756;0.064471;0.000768;0.104668;0.033359;0.026771;0.010134;0.025824;0.023505;0.000057;0.012571;0.000092;0.000194;0.001192;0.000264;0.000003
e;0.000002;0.001314;0.011391;0.314922;0.023580;0.019247;0.114713;0.037339;0.003346;0.017546;0.049385;0.007511;0.032267;0.026036;0.026054;0.029426;0.000070;0.077223;0.056406;0.048669;0.010306;0.005692;0.000781;0.007085;0.069830;0.007110;0.001114;0.000009;0.000899;0.000720;0.000002;0.000002
v;0.000027;0.000027;0.133882;0.003652;0.745319;0.000082;0.000927;0.001308;0.000027;0.076917;0.000082;0.000027;0.000763;0.000027;0.000027;0.000027;0.000027;0.000327;0.000763;0.033798;0.000164;0.000027;0.001390;0.000109;0.000055;0.000027;0.000027;0.000055;0.000027;0.000027;0.000027;0.000027
r;0.000005;0.000751;0.087722;0.165584;0.279494;0.004632;0.013234;0.044339;0.001933;0.071613;0.018367;0.001562;0.006469;0.008107;0.011737;0.045275;0.000090;0.047634;0.029818;0.075749;0.005758;0.008397;0.034285;0.001883;0.021146;0.000125;0.013489;0.000731;0.000030;0.000025;0.000005;0.000010
y;0.000010;0.000068;0.027449;0.470130;0.061860;0.003060;0.035214;0.000048;0.017447;0.234746;0.001259;0.004338;0.003873;0.001297;0.003534;0.009614;0.000019;0.034624;0.082493;0.003989;0.002169;0.000194;0.000194;0.000174;0.001985;0.000010;0.000029;0.000010;0.000136;0.000010;0.000010;0.000010
b;0.000017;0.000261;0.063382;0.013456;0.315101;0.002959;0.035234;0.044791;0.007364;0.162468;0.000331;0.000052;0.102655;0.007033;0.000470;0.003273;0.001375;0.021360;0.002576;0.101715;0.000296;0.000052;0.113413;0.000122;0.000087;0.000017;0.000017;0.000017;0.000035;0.000035;0.000017;0.000017
o;0.000003;0.005480;0.014383;0.144812;0.008061;0.014999;0.101700;0.001704;0.011060;0.020600;0.015962;0.065040;0.026442;0.017069;0.043960;0.050579;0.000251;0.024147;0.022329;0.002604;0.032319;0.007128;0.160473;0.055021;0.139893;0.000777;0.012960;0.000007;0.000219;0.000013;0.000003;0.000003
d;0.000008;0.000354;0.084581;0.453514;0.124938;0.002699;0.013389;0.023281;0.000520;0.124840;0.010215;0.000709;0.005586;0.000927;0.004116;0.000912;0.000113;0.016692;0.067965;0.030707;0.000317;0.003950;0.011256;0.000498;0.017559;0.000008;0.000045;0.000023;0.000008;0.000256;0.000008;0.000008
w;0.000010;0.222698;0.084430;0.156523;0.200119;0.000010;0.009332;0.001288;0.000164;0.085821;0.001543;0.000082;0.001564;0.000041;0.000480;0.000409;0.000010;0.017407;0.025554;0.171580;0.000051;0.000010;0.000174;0.000746;0.019554;0.000010;0.000327;0.000010;0.000010;0.000020;0.000010;0.000010
l;0.000007;0.000070;0.157200;0.135636;0.167310;0.003643;0.003720;0.070737;0.000818;0.053474;0.056851;0.002951;0.175183;0.002335;0.003804;0.013257;0.000007;0.022975;0.024045;0.063745;0.005482;0.000622;0.015040;0.006090;0.000615;0.000007;0.014208;0.000014;0.000028;0.000112;0.000007;0.000007
c;0.000011;0.110455;0.049692;0.032361;0.102236;0.000022;0.069089;0.013200;0.000549;0.192207;0.000237;0.000032;0.034233;0.013975;0.000140;0.083430;0.000011;0.005992;0.008919;0.190399;0.000043;0.000129;0.028972;0.000043;0.003443;0.000011;0.059827;0.000011;0.000097;0.000215;0.000011;0.000011
m;0.000012;0.002715;0.086088;0.146501;0.271055;0.000060;0.001524;0.033976;0.025663;0.117313;0.000298;0.000071;0.001036;0.003013;0.035226;0.000119;0.000012;0.019030;0.025425;0.134485;0.066975;0.000012;0.023424;0.001012;0.003835;0.000012;0.000024;0.000965;0.000083;0.000012;0.000012;0.000012
t;0.000003;0.323382;0.060772;0.255617;0.068342;0.000311;0.027569;0.013387;0.000238;0.080072;0.000223;0.005731;0.005576;0.002422;0.001173;0.012224;0.000008;0.053673;0.041120;0.033397;0.000135;0.000096;0.013045;0.000562;0.000267;0.000003;0.000031;0.000065;0.000534;0.000018;0.000003;0.000003
j;0.000100;0.000100;0.097189;0.003190;0.070275;0.000100;0.003289;0.000100;0.000100;0.209330;0.000100;0.000100;0.000100;0.000199;0.000100;0.000299;0.000199;0.000299;0.000598;0.057018;0.001096;0.000100;0.554625;0.000299;0.000199;0.000100;0.000100;0.000100;0.000100;0.000299;0.000100;0.000100
s;0.000004;0.040839;0.046377;0.388218;0.091913;0.000075;0.001343;0.005295;0.000389;0.081628;0.000402;0.002087;0.003835;0.010887;0.005835;0.121580;0.000004;0.039844;0.062166;0.045109;0.013978;0.000364;0.022946;0.000481;0.009524;0.000013;0.004082;0.000393;0.000004;0.000376;0.000004;0.000004
);0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250;0.031250
a;0.000003;0.011014;0.028508;0.077907;0.001235;0.026759;0.085244;0.039022;0.025510;0.000146;0.026151;0.005374;0.088040;0.034815;0.025000;0.186399;0.000754;0.061798;0.015901;0.000143;0.012724;0.017929;0.017572;0.005091;0.186347;0.001635;0.015111;0.000023;0.002874;0.000962;0.000003;0.000007
p;0.000014;0.011570;0.031459;0.087792;0.202754;0.000014;0.122843;0.003675;0.000178;0.131504;0.000505;0.000041;0.134550;0.000137;0.000533;0.018892;0.000014;0.016091;0.014684;0.109129;0.062330;0.000068;0.049517;0.000382;0.000150;0.000014;0.000068;0.001024;0.000014;0.000014;0.000014;0.000027
g;0.000012;0.106928;0.035694;0.313589;0.123928;0.000012;0.053732;0.003758;0.000346;0.149231;0.000262;0.000048;0.010630;0.000346;0.001241;0.004772;0.000012;0.016416;0.051227;0.059423;0.000095;0.008387;0.042793;0.000095;0.016940;0.000012;0.000012;0.000012;0.000012;0.000012;0.000012;0.000012
u;0.000009;0.003726;0.009354;0.137505;0.026771;0.002022;0.117308;0.016539;0.020834;0.002272;0.014397;0.000103;0.074453;0.023295;0.036426;0.143649;0.000060;0.158700;0.021694;0.019508;0.046245;0.024654;0.000052;0.008657;0.085666;0.000224;0.001454;0.000620;0.003743;0.000043;0.000009;0.000009
f;0.000017;0.000052;0.090515;0.313443;0.057856;0.000017;0.072122;0.003592;0.003627;0.201288;0.000691;0.000104;0.016044;0.000501;0.000104;0.030828;0.000052;0.001088;0.052882;0.057027;0.000432;0.001174;0.031346;0.064903;0.000104;0.000017;0.000086;0.000017;0.000017;0.000017;0.000017;0.000017
n;0.000004;0.000387;0.032415;0.194895;0.068135;0.004642;0.000403;0.014364;0.002064;0.088459;0.150404;0.000549;0.005076;0.022129;0.003928;0.120456;0.000320;0.040136;0.033588;0.035103;0.000458;0.132693;0.004982;0.004729;0.020869;0.000063;0.018489;0.000075;0.000039;0.000138;0.000004;0.000004
x;0.000222;0.001335;0.064502;0.202402;0.055827;0.000445;0.000445;0.005116;0.000667;0.013123;0.000667;0.000667;0.000222;0.088523;0.000667;0.173488;0.000222;0.002224;0.037144;0.166370;0.162811;0.000222;0.017349;0.001112;0.001335;0.001557;0.000222;0.000222;0.000222;0.000222;0.000222;0.000222
k;0.000024;0.001058;0.128751;0.244615;0.306650;0.000024;0.004703;0.004844;0.000470;0.006044;0.000423;0.001011;0.006655;0.000588;0.000376;0.000658;0.000047;0.042987;0.035933;0.034921;0.000823;0.000658;0.001364;0.000894;0.174396;0.000024;0.000658;0.000306;0.000024;0.000024;0.000024;0.000024
.;0.001546;0.001546;0.001546;0.513138;0.001546;0.001546;0.001546;0.001546;0.001546;0.026275;0.001546;0.003091;0.001546;0.038640;0.125193;0.001546;0.001546;0.111283;0.143740;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546;0.001546
z;0.000280;0.000840;0.163260;0.185662;0.282834;0.000280;0.001400;0.066648;0.000280;0.098292;0.000560;0.000560;0.002800;0.000280;0.001120;0.000560;0.000280;0.002800;0.036124;0.110053;0.000280;0.000840;0.026883;0.002800;0.000560;0.000280;0.000280;0.000280;0.011761;0.000560;0.000280;0.000280
q;0.000483;0.000483;0.007243;0.117335;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483;0.002414;0.000966;0.001931;0.003863;0.000483;0.002414;0.017383;0.034766;0.000483;0.000483;0.801062;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483;0.000483
,;0.003521;0.003521;0.003521;0.781690;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.112676;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521;0.003521
#;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.054054;0.027027;0.027027;0.027027;0.027027;0.081081;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027;0.027027
